CODE,SERVICE DESCRIPTION,Category,Department
33010,Open Pericardiocentesis,Cardiology services,ADULT CARDIAC SURGERY
33015,Closed Pericardiocentesis,Cardiology services,ADULT CARDIAC SURGERY
33025,Pericardiectomy,Cardiology services,ADULT CARDIAC SURGERY
33031,Pericardiectomy with CPB,Cardiology services,ADULT CARDIAC SURGERY
33050,Pericardium Tumor Excision,Cardiology services,ADULT CARDIAC SURGERY
33120,Pericardium Tumor Excision on CPB,Cardiology services,ADULT CARDIAC SURGERY
33141,Laser Cardiac Therapy,Cardiology services,ADULT CARDIAC SURGERY
33202,Open Biventricular Pacing,Cardiology services,ADULT CARDIAC SURGERY
33203,Biventricular Pacing Insertion,Cardiology services,ADULT CARDIAC SURGERY
33204,Biventricular Device,Cardiology services,ADULT CARDIAC SURGERY
33210,Temporary Pacermaker Insertion,Cardiology services,ADULT CARDIAC SURGERY
33212,Insertion of High Power Device,Cardiology services,ADULT CARDIAC SURGERY
33215,Reposition of Pacemaker,Cardiology services,ADULT CARDIAC SURGERY
33216,Permanent Pacemaker Insertion,Cardiology services,ADULT CARDIAC SURGERY
33218,D/Chamber Pacemaker,Cardiology services,ADULT CARDIAC SURGERY
33222,Relocation of Pacemaker Skin Pocket,Cardiology services,ADULT CARDIAC SURGERY
33227,Removal and Replacement of Single Lead Pacemaker,Cardiology services,ADULT CARDIAC SURGERY
33228,Removal and Replacement of Dual Lead Pacemaker,Cardiology services,ADULT CARDIAC SURGERY
33236,Removal of Permanent Pacemaker.,Cardiology services,ADULT CARDIAC SURGERY
33243,Removal of Defibrilator Electrode,Cardiology services,ADULT CARDIAC SURGERY
33251,Maze Procedure,Cardiology services,ADULT CARDIAC SURGERY
33254,Atrial Reduction,Cardiology services,ADULT CARDIAC SURGERY
33300,Cardiac Repair,Cardiology services,ADULT CARDIAC SURGERY
33305,Cardiac Repair on CPB,Cardiology services,ADULT CARDIAC SURGERY
33310,Cardiac Clot Removal,Cardiology services,ADULT CARDIAC SURGERY
33315,Cardiac Clot Removal on CPB,Cardiology services,ADULT CARDIAC SURGERY
33320,Main Vascular Repair,Cardiology services,ADULT CARDIAC SURGERY
33322,Main Vascular Repair on CPB,Cardiology services,ADULT CARDIAC SURGERY
33330,Bental's With Aortic Valve Replacement,Cardiology services,ADULT CARDIAC SURGERY
33335,Valve Sparing Bental's,Cardiology services,ADULT CARDIAC SURGERY
33361,Transcatheter Aortic Valve Replacement (TAVR),Cardiology services,ADULT CARDIAC SURGERY
33420,Transcatheter Mitral Valvuloplast,Cardiology services,ADULT CARDIAC SURGERY
33362,Aortic Valve Replacement,Cardiology services,ADULT CARDIAC SURGERY
33390,Aortic Valve Repair on CPB,Cardiology services,ADULT CARDIAC SURGERY
33391,Avr With Aortic Root Enlargement,Cardiology services,ADULT CARDIAC SURGERY
33405,Bio-Synthetic Aortic Valve Replacement on CPB,Cardiology services,ADULT CARDIAC SURGERY
33412,Mitral Annuloplasty And Replacement,Cardiology services,ADULT CARDIAC SURGERY
33413,Aortic/Pulmonary Outlet Obstruction Release,Cardiology services,ADULT CARDIAC SURGERY
33414,Left Ventricular Outlet Tractobstruction Release,Cardiology services,ADULT CARDIAC SURGERY
33416,Left Ventriculotomy,Cardiology services,ADULT CARDIAC SURGERY
33417,Aortic Valve Repair,Cardiology services,ADULT CARDIAC SURGERY
33422,Open Mitral Valvotomy,Cardiology services,ADULT CARDIAC SURGERY
33425,Mitral Valve Repair with CPB,Cardiology services,ADULT CARDIAC SURGERY
33426,Bio-Synthetic Mitral Valve Replacement on CPB,Cardiology services,ADULT CARDIAC SURGERY
33430,Mitral Valve Replacement,Cardiology services,ADULT CARDIAC SURGERY
33460,Tricuspid Valve Annuloplasty on CPB,Cardiology services,ADULT CARDIAC SURGERY
33463,Tricuspid Valve Annuloplasty,Cardiology services,ADULT CARDIAC SURGERY
33464,Tricuspid Valve Ring Annuloplasty on CPB,Cardiology services,ADULT CARDIAC SURGERY
33465,Tricuspid Valve Replacement on CPB,Cardiology services,ADULT CARDIAC SURGERY
33468,Tricuspid Valve Repositioning,Cardiology services,ADULT CARDIAC SURGERY
33470,Closed Pulmonary Valvotomy,Cardiology services,ADULT CARDIAC SURGERY
33474,Open Tricuspid Valvotomy,Cardiology services,ADULT CARDIAC SURGERY
33475,Pulmonary Valve Replacement,Cardiology services,ADULT CARDIAC SURGERY
33476,Double Valve Replacement,Cardiology services,ADULT CARDIAC SURGERY
33477,Pulmonary Valve Replacement,Cardiology services,ADULT CARDIAC SURGERY
33478,Right Ventricular Outlet Tract Obstruction Release,Cardiology services,ADULT CARDIAC SURGERY
33496,Re- Do Mechanical Valve Replacement,Cardiology services,ADULT CARDIAC SURGERY
33500,Coronary Artery Reimplantation on CPB,Cardiology services,ADULT CARDIAC SURGERY
33501,Coronary Artery Reimplantation,Cardiology services,ADULT CARDIAC SURGERY
33502,Repair of Coronaryartery Anomaly,Cardiology services,ADULT CARDIAC SURGERY
33503,Coronary Artery Bypass Graft (Anomaly),Cardiology services,ADULT CARDIAC SURGERY
33504,Transection of Pulmonary Artery,Cardiology services,ADULT CARDIAC SURGERY
33505,Repair of Sinus of Valsalva Fistula,Cardiology services,ADULT CARDIAC SURGERY
33507,Coronary Artery Osteoplasty,Cardiology services,ADULT CARDIAC SURGERY
33510,Single Vessel Coronary Artery Bypass Surgery,Cardiology services,ADULT CARDIAC SURGERY
33511,Two Vessel Coronary Artery Bypass Surgery,Cardiology services,ADULT CARDIAC SURGERY
33512,Tripple Vessel Coronary Artery Bypass Surgery,Cardiology services,ADULT CARDIAC SURGERY
33514,Tripple Vessel Coronary Artery Bypass Surgery without CPB,Cardiology services,ADULT CARDIAC SURGERY
33530,Reopening Cardiac Surgery- 1month,Cardiology services,ADULT CARDIAC SURGERY
33600,Tricuspid Valve Cleft Repair,Cardiology services,PAEDIATRIC CARDIAC SURGERY (CONGENITAL)
33602,Valve Leaflets Reconstruction,Cardiology services,PAEDIATRIC CARDIAC SURGERY (CONGENITAL)
33606,Damas - Kaye Stansel Procedure,Cardiology services,PAEDIATRIC CARDIAC SURGERY (CONGENITAL)
33620,Rt And Lt Pulmonary Artery Banding,Cardiology services,PAEDIATRIC CARDIAC SURGERY (CONGENITAL)
33621,Asd Closure With Device,Cardiology services,PAEDIATRIC CARDIAC SURGERY (CONGENITAL)
33622,Complex Intracardiac Repair,Cardiology services,PAEDIATRIC CARDIAC SURGERY (CONGENITAL)
33641,"ASD Closure, Open",Cardiology services,PAEDIATRIC CARDIAC SURGERY (CONGENITAL)
33645,ASD Closure + Roofing of SVC,Cardiology services,PAEDIATRIC CARDIAC SURGERY (CONGENITAL)
33647,VSD And ASD Closure,Cardiology services,PAEDIATRIC CARDIAC SURGERY (CONGENITAL)
33675,Multiple VSD Closure,Cardiology services,PAEDIATRIC CARDIAC SURGERY (CONGENITAL)
33676,VSD or ASD Closure- Device,Cardiology services,PAEDIATRIC CARDIAC SURGERY (CONGENITAL)
33681,"VSD Closure, Open",Cardiology services,PAEDIATRIC CARDIAC SURGERY (CONGENITAL)
33690,Banding Pulmonary Artery,Cardiology services,PAEDIATRIC CARDIAC SURGERY (CONGENITAL)
33692,Complete Tof Repair,Cardiology services,PAEDIATRIC CARDIAC SURGERY (CONGENITAL)
33724,Tapvc Repair,Cardiology services,PAEDIATRIC CARDIAC SURGERY (CONGENITAL)
33755,Waterston Procedure,Cardiology services,PAEDIATRIC CARDIAC SURGERY (CONGENITAL)
33762,Blalock - Taussig Shunt (Bt Shunt),Cardiology services,PAEDIATRIC CARDIAC SURGERY (CONGENITAL)
33764,Modified Blalock - Taussig Shunt (Modified BT Shunt),Cardiology services,PAEDIATRIC CARDIAC SURGERY (CONGENITAL)
33766,Glenn Procedure,Cardiology services,PAEDIATRIC CARDIAC SURGERY (CONGENITAL)
33768,Removal of Congenital Extra Vena Cava,Cardiology services,PAEDIATRIC CARDIAC SURGERY (CONGENITAL)
33782,Arterial Switch (D-TGA),Cardiology services,PAEDIATRIC CARDIAC SURGERY (CONGENITAL)
33783,VSD Closure and Arterial Switch,Cardiology services,PAEDIATRIC CARDIAC SURGERY (CONGENITAL)
33788,Pumonary Artery Conduit(Truncus),Cardiology services,PAEDIATRIC CARDIAC SURGERY (CONGENITAL)
33820,"Pda Closure, Open",Cardiology services,PAEDIATRIC CARDIAC SURGERY (CONGENITAL)
33822,Pda Device Closure,Cardiology services,PAEDIATRIC CARDIAC SURGERY (CONGENITAL)
33930,Cardio-Pulmonary Harvest,Cardiology services,PAEDIATRIC CARDIAC SURGERY (CONGENITAL)
33935,Cardio-Pulmonary Transplant,Cardiology services,PAEDIATRIC CARDIAC SURGERY (CONGENITAL)
33940,Preoperative Cardiac Preservation,Cardiology services,PAEDIATRIC CARDIAC SURGERY (CONGENITAL)
