CODE,SERVICE DESCRIPTION,Category,Section
61107,Subdural Tapping (Insertion of Brain Drainage Catheter or Fluid Pressure Recording or Monitoring Device),Neurosurgical,HEAD
61521,Brain Abcess,Neurosurgical,HEAD
61538,Burr Hole for Evacuation,Neurosurgical,HEAD
61540,Craniotomy for Posterior,Neurosurgical,HEAD
61590,Craniotomy for Olfactory,Neurosurgical,HEAD
61888,Craniotomy for Right Frontal,Neurosurgical,HEAD
61512,Craniotomy for Meningioma,Neurosurgical,HEAD
61510,Craniotomy for Tumour,Neurosurgical,HEAD
62000,Skull Elevation (Elevation of Depressed Skull Fracture),Neurosurgical,HEAD
61500,Skull Exostosis Excision (Removal of Brain Tumor or Other Skull Bone Lesion),Neurosurgical,HEAD
61546,Craniotomy for Pituitary (Incision of Forehead Bone for Excision of Pituitary Gland Tumor),Neurosurgical,HEAD
62252,Glomus Jugulare Tumour,Neurosurgical,HEAD
63704,Ant Fontenele Meningocele (Repair of (Less than 5 Centimeter) Spinal Cord Defect),Neurosurgical,HEAD
62005,Skull Elevation (Elevation of Depressed Skull Fractures),Neurosurgical,HEAD
62100,Naso Encephabulle Repair (Repair of Membrane Covering the Brain),Neurosurgical,HEAD
62120,Encephalocele Closure/Repair,Neurosurgical,HEAD
62141,Cranioplasty,Neurosurgical,HEAD
61548,Gastrectomy for Pituitary (Excision of Pituitary Gland Tumor),Neurosurgical,HEAD
62230,Revision VP Shunt (Replacement or Revision of Brain Fluid Drainage Shunt Valve or Catheter),Neurosurgical,HEAD
62256,Shunt Removal (Removal of Brain and Spinal Fluid Shunt System),Neurosurgical,HEAD
62225,VP Shunt and SBH Evacuation (Replacement or Irrigation of Brain Fluid Drainage Shunt Catheter),Neurosurgical,HEAD
61000,Subdural Tapping,Neurosurgical,HEAD
61108,Right Burr Holes for SDH,Neurosurgical,HEAD
61150,Brain Abcess,Neurosurgical,HEAD
61305,Craniotomy for Posterior,Neurosurgical,HEAD
61312,Subdural Haematoma,Neurosurgical,HEAD
61313,Craniotomy for Olfactory,Neurosurgical,HEAD
61154,Burr Hole and Haematoma,Neurosurgical,HEAD
61250,Burr Hole and Evacuation CSDH,Neurosurgical,HEAD
61314,Evaculation for Chronic,Neurosurgical,HEAD
61514,Ocipital Meningocele Excision,Neurosurgical,HEAD
61520,Olfactory Groove Mengioma,Neurosurgical,HEAD
61570,Craniotomy for Bullet / Foreign Body,Neurosurgical,HEAD
62010,Ds And Skull Elevation and EF,Neurosurgical,HEAD
62117,Encephaocele Repair,Neurosurgical,HEAD
62121,Ocipital Enephalocele Repair,Neurosurgical,HEAD
61575,"Transoral Approach Skullbase Bx,Tomor Excision",Neurosurgical,HEAD
61605,"Resection On Neoplastic,Vascular,Infectious Lesion Infratemporal Fossae",Neurosurgical,HEAD
61606,Infratemporal Fossa with Duroplasty/Grafting,Neurosurgical,HEAD
61609,Transection/Ligation Carotid Artery,Neurosurgical,HEAD
61612,Transection/Ligation Carotid Artery with Repair,Neurosurgical,HEAD
61613,"Obliteration of Carotid Aneurysm, AVN by Microscope",Neurosurgical,HEAD
61618,Secondary Repair of Dura for CSF Leaking,Neurosurgical,HEAD
61624,"Transcatheter Permanent Occlusion ,Embolization Intracranial",Neurosurgical,HEAD
61700,Aneurysmal Creeping Intracranial,Neurosurgical,HEAD
62201,ETV (Stereotactic Creation of Spinal Fluid Drainage Tract in the Brain using an Endoscope),Neurosurgical,HEAD
61698,Aneurysmal Cliping (Repair of Bulging of Blood Vessel (Aneurysm) in Brain),Neurosurgical,HEAD
62165,Removal of Pituitary Gland Tumor using an Endoscope,Neurosurgical,HEAD
22554,"ACDF (Fusion of Spine Bones with Removal of Disc at Upper Spinal Column, Anterior Approach)",Neurosurgical,NECK AND THORAX
22612,Spinal Stabilization Trans,Neurosurgical,NECK AND THORAX
22552,Anterior/ Posterior Cervical,Neurosurgical,NECK AND THORAX
22845,C3-C4 Laminectomy Under C-Arm,Neurosurgical,NECK AND THORAX
63075,Anterior Cervical Caging (Removal of Upper Spine Disc and Release of Spinal Cord and/or nerves),Neurosurgical,NECK AND THORAX
22846,C4-C5 Coperctomy Cage and,Neurosurgical,NECK AND THORAX
22847,C4-C5c5-C6 Ventral Fusion,Neurosurgical,NECK AND THORAX
64634,Percutaneous Discectomy Cervical,Neurosurgical,NECK AND THORAX
22851,Synthetic Caging Cervical,Neurosurgical,NECK AND THORAX
22630,L2-L3 Caopectomy and,Neurosurgical,BACK (THORACO LUMBER)
22632,L4-L5 Fusion,Neurosurgical,BACK (THORACO LUMBER)
22840,Revision Transpedicular,Neurosurgical,BACK (THORACO LUMBER)
63017,Lumbar Canal Decompression,Neurosurgical,BACK (THORACO LUMBER)
63020,Lumbar Decompression,Neurosurgical,BACK (THORACO LUMBER)
63015,Discectomy L4-L5,Neurosurgical,BACK (THORACO LUMBER)
63045,Laminectomy L3-L5,Neurosurgical,BACK (THORACO LUMBER)
63046,Laminectomy L4-L5 Under C-,Neurosurgical,BACK (THORACO LUMBER)
63047,Laminectomy T11-T12,Neurosurgical,BACK (THORACO LUMBER)
63048,Laminectomy T12-L1,Neurosurgical,BACK (THORACO LUMBER)
63056,DECOMPRESION L4-L5.L5-S1(Release of Lower Spinal Cord and/or Nerves),Neurosurgical,BACK (THORACO LUMBER)
63307,Retroperitoneal L2-L3,Neurosurgical,BACK (THORACO LUMBER)
63700,SB Closure,Neurosurgical,BACK (THORACO LUMBER)
63706,Revision Wound for SB Repair,Neurosurgical,BACK (THORACO LUMBER)
63702,SB Repair,Neurosurgical,BACK (THORACO LUMBER)
22849,Revision Instrument L4-L5,Neurosurgical,BACK (THORACO LUMBER)
22859,Carpectomy and Meshed Cage,Neurosurgical,BACK (THORACO LUMBER)
63030,Discectomy L4-L5/L5-S1,Neurosurgical,BACK (THORACO LUMBER)
63057,Fusion L3-S1 (Release of Middle or Lower Spinal Cord and/or Nerves),Neurosurgical,BACK (THORACO LUMBER)
63035,Disfraciculation LT Hip/Wide,Neurosurgical,BACK (THORACO LUMBER)
63050,Ilistrumented Fusion L5-S1,Neurosurgical,BACK (THORACO LUMBER)
64490,Lumber Facet Injection L4-L5,Neurosurgical,BACK (THORACO LUMBER)
22633,L4-L5 Fusion Under Image,Neurosurgical,BACK (THORACO LUMBER)
22634,L4-L5 And L5-S1 Epidural,Neurosurgical,BACK (THORACO LUMBER)
22800,L4-L5 Decompression Under C -Arm,Neurosurgical,BACK (THORACO LUMBER)
22812,L4-L5l5-S1 Decompresion,Neurosurgical,BACK (THORACO LUMBER)
22804,L5 Si Decompressive And,Neurosurgical,BACK (THORACO LUMBER)
22808,L5-S1 Facet Injection Under C-,Neurosurgical,BACK (THORACO LUMBER)
22810,L5-Si Laminectomy,Neurosurgical,BACK (THORACO LUMBER)
22818,Laminectomy L3-L4,Neurosurgical,BACK (THORACO LUMBER)
22830,Laminectomy L2-L3 Under C-,Neurosurgical,BACK (THORACO LUMBER)
,Laminectomy L3-L4 L5-S1,Neurosurgical,BACK (THORACO LUMBER)
62278,Percutaneous Discectomy Lumbar,Neurosurgical,BACK (THORACO LUMBER)
62311,Epidural Injection T12-L1,Neurosurgical,SPINE (VERTEBRAL COLUMN)
63055,Thoracic Spine Stabilization (Release of Middle Spinal Cord and/or Nerves),Neurosurgical,SPINE (VERTEBRAL COLUMN)
22842,Instrumentation T12-L4 Under C-Arm,Neurosurgical,SPINE (VERTEBRAL COLUMN)
63086,T12-L1 Decompression And,Neurosurgical,SPINE (VERTEBRAL COLUMN)
63087,T12-L1-L2l4 stabilization,Neurosurgical,SPINE (VERTEBRAL COLUMN)
63088,T12-L1l2 Instrumentation,Neurosurgical,SPINE (VERTEBRAL COLUMN)
63089,T2-T1 Fixation with Pedicle,Neurosurgical,SPINE (VERTEBRAL COLUMN)
63276,Spinal Tumour Exicision And,Neurosurgical,SPINE (VERTEBRAL COLUMN)
63064,T3 Decompression,Neurosurgical,SPINE (VERTEBRAL COLUMN)
63085,T12 Decompression,Neurosurgical,SPINE (VERTEBRAL COLUMN)
22802,Arthrodesis of 6 Vertebral SEG,Neurosurgical,SPINE (VERTEBRAL COLUMN)
22819,Kyphectomy (Resection Vert SEG),Neurosurgical,SPINE (VERTEBRAL COLUMN)
23040,Arthrotomy Shoulder,Neurosurgical,SHOULDER
23120,Bone Nibbling Clavicle,Neurosurgical,SHOULDER
23430,Repair-Biceps,Neurosurgical,SHOULDER
23655,Recurrent Shoulder,Neurosurgical,SHOULDER
23802,Arthrodesis-Shoulder Joint,Neurosurgical,SHOULDER
23900,Forequarter Amputation,Neurosurgical,SHOULDER
23935,Arthrolysis,Neurosurgical,SHOULDER
15101,Skin-Graft Shoulder,Neurosurgical,SHOULDER
23065,Biopsy Shoulder,Neurosurgical,SHOULDER
23330,Debridment Shoulder,Neurosurgical,SHOULDER
23921,Disarticulation-Shoulder,Neurosurgical,SHOULDER
24075,Tumour Excision,Neurosurgical,SHOULDER
24079,Tumour Debukling And Biopsy,Neurosurgical,SHOULDER
23540,Ac Joint Sublaxation-,Neurosurgical,SHOULDER
23550,Orif Acj,Neurosurgical,SHOULDER
23500,Closed Treatment Clavicle,Neurosurgical,SHOULDER
23515,Orif Clavicle,Neurosurgical,SHOULDER
23570,Closed Treatment Scapula,Neurosurgical,SHOULDER
23585,ORIF Treatment Scapula,Neurosurgical,SHOULDER
23675,Closed Treatment of Shulder Dislocation,Neurosurgical,SHOULDER
23680,ORIF Shoulder Dislocation,Neurosurgical,SHOULDER
,,Neurosurgical,
,HUMERUS (UPPER ARM AND ELBOW),Neurosurgical,
20200,Biopsy Elbow,Neurosurgical,HUMERUS (UPPER ARM AND ELBOW)
15736,Reverse Radial Flap Elbow,Neurosurgical,HUMERUS (UPPER ARM AND ELBOW)
24006,Gout Tophies Debridement,Neurosurgical,HUMERUS (UPPER ARM AND ELBOW)
24076,Elbow Joint Toilet-Bx,Neurosurgical,HUMERUS (UPPER ARM AND ELBOW)
24134,Sequstrectomy Humerus,Neurosurgical,HUMERUS (UPPER ARM AND ELBOW)
24341,Elbow Reconstruction,Neurosurgical,HUMERUS (UPPER ARM AND ELBOW)
24342,Repair-Triceps,Neurosurgical,HUMERUS (UPPER ARM AND ELBOW)
24345,Elbow Reconstruction,Neurosurgical,HUMERUS (UPPER ARM AND ELBOW)
24362,Reconstraction Elbow,Neurosurgical,HUMERUS (UPPER ARM AND ELBOW)
24400,Co Humerus,Neurosurgical,HUMERUS (UPPER ARM AND ELBOW)
24435,Revision ORIF Humerus,Neurosurgical,HUMERUS (UPPER ARM AND ELBOW)
